,0
C0,-1.2808476402622033
C1,0.0879136583585825
C2,-1.7367264757140837
C3,-0.024947401729671272
C4,-0.5506301252578233
C5,-0.691480715187326
C6,-1.3117668802774896
C7,-1.0360686013608258
C8,0.5838769514704397
C9,-1.494835546663827
C10,-1.0836254076456773
C11,-1.3027717051528105
C12,-1.2157156693032527
C13,-0.6961003921474206
C14,0.7918111385265014
C15,-2.344799263860049
C16,-0.7379768516457265
C17,0.5306640592104599
C18,-0.8137919082349034
C19,-0.9327955660866516
P0,2.31901465725566
P3,2.265913454572489
P7,-1.9224459016264723
P8,0.4829780208699693
P9,0.3476222242989945
P10,1.417546104543822
P11,0.3469238650586725
P13,-0.06953966313786009
P15,1.209323825836268
P16,1.6389035990507796
P18,1.9749521136031176
P19,0.9830418962395784
P20,2.0291941650617313
P22,-0.2423327137433579
P24,2.479518695080362
